Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Email,zeros,zeros + 1
1.0,DD37Cf93aecA6Dc,Sheryl,Baxter,Rasmussen Group,East Leonard,Chile,229.077.5154,zunigavanessa@smith.info,4,16
2.0,1Ef7b82A4CAAD10,Preston,Lozano,Vega-Gentry,,Djibouti,5153435776,vmata@colon.com,4,16
3.0,6F94879bDAfE5a6,Roy,Berry,Murillo-Perry,Isabelborough,Antigua and Barbuda,-1199,beckycarr@hogan.com,4,16
4.0,5Cef8BFA16c5e3c,Linda,Olsen,"Dominguez, Mcmillan and Donovan",Bensonview,Dominican Republic,001-808-617-6467x12895,,4,16
5.0,053d585Ab6b3159,Joanna,Bender,"Martin, Lang and Andrade",West Priscilla,Slovakia (Slovak Republic),001-234-203-0635x76146,colinalvarado@miles.net,4,16
6.0,2d08FB17EE273F4,Aimee,,Steele Group,Chavezborough,Bosnia and Herzegovina,(283)437-3886x88321,louis27@gilbert.com,4,16
7.0,EA4d384DfDbBf77,Darren,Peck,"Lester, Woodard and Mitchell",Lake Ana,Pitcairn Islands,(496)452-6181x3291,tgates@cantrell.com,4,16
8.0,0e04AFde9f225dE,Brett,Mullen,"Sanford, Davenport and Giles",Kimport,Bulgaria,001-583-352-7197x297,asnow@colon.com,4,16
9.0,nan,Sheryl,Meyers,Browning-Simon,Robersonstad,Cyprus,854-138-4911x5772,mariokhan@ryan-pope.org,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
,nan,,,,,,,,4,16
